RepoName,RepoType,GitHubURL
CrowdTruth/CrowdTruth-core,Tool,https://github.com/CrowdTruth/CrowdTruth-core.git
cltk/cltk,Tool,https://github.com/cltk/cltk.git
kermitt2/delft,Tool,https://github.com/kermitt2/delft.git
ecohealthalliance/EpiTator,Tool,https://github.com/ecohealthalliance/EpiTator.git
Jopepato/SMiLE,Tool,https://github.com/Jopepato/SMiLE.git
chakki-works/seqeval,Tool,https://github.com/chakki-works/seqeval.git
alan-turing-institute/skpro,Tool,https://github.com/alan-turing-institute/skpro.git
NIHOPA/NLPre,Tool,https://github.com/NIHOPA/NLPre.git
ClarityNLP/ClarityNLP,Tool,https://github.com/ClarityNLP/ClarityNLP.git
scikit-learn/scikit-learn,Tool,https://github.com/scikit-learn/scikit-learn.git
nielstron/quantulum3,Tool,https://github.com/nielstron/quantulum3.git
chainer/chainer,Tool,https://github.com/chainer/chainer.git
vzhou842/profanity-check,Tool,https://github.com/vzhou842/profanity-check.git
raamana/neuropredict,Tool,https://github.com/raamana/neuropredict.git
antoinecarme/pyaf,Tool,https://github.com/antoinecarme/pyaf.git
Rostlab/nalaf,Tool,https://github.com/Rostlab/nalaf.git
gosha20777/keras2cpp,Tool,https://github.com/gosha20777/keras2cpp.git
SekouD/mlconjug,Tool,https://github.com/SekouD/mlconjug.git
datamade/usaddress,Tool,https://github.com/datamade/usaddress.git
scikit-multiflow/scikit-multiflow,Tool,https://github.com/scikit-multiflow/scikit-multiflow.git
kundajelab/dragonn,Tool,https://github.com/kundajelab/dragonn.git
MaxHalford/prince,Tool,https://github.com/MaxHalford/prince.git
RasaHQ/rasa_core,Tool,https://github.com/RasaHQ/rasa_core.git
inspirehep/magpie,Tool,https://github.com/inspirehep/magpie.git
goulu/Goulib,Tool,https://github.com/goulu/Goulib.git
fastnlp/fastNLP,Tool,https://github.com/fastnlp/fastNLP.git
feedly/transfer-nlp,Tool,https://github.com/feedly/transfer-nlp.git
scikit-learn-contrib/hdbscan,Tool,https://github.com/scikit-learn-contrib/hdbscan.git
bhargavvader/pycobra,Tool,https://github.com/bhargavvader/pycobra.git
gunthercox/ChatterBot,Tool,https://github.com/gunthercox/ChatterBot.git
jfilter/text-classification-keras,Tool,https://github.com/jfilter/text-classification-keras.git
openopt/copt,Tool,https://github.com/openopt/copt.git
bamos/block,Tool,https://github.com/bamos/block.git
lai-bluejay/diego,Tool,https://github.com/lai-bluejay/diego.git
funkey/gunpowder,Tool,https://github.com/funkey/gunpowder.git
bmcfee/muda,Tool,https://github.com/bmcfee/muda.git
proycon/foliapy,Tool,https://github.com/proycon/foliapy.git
scikit-learn-contrib/imbalanced-learn,Tool,https://github.com/scikit-learn-contrib/imbalanced-learn.git
scikit-learn-contrib/polylearn,Tool,https://github.com/scikit-learn-contrib/polylearn.git
nschaetti/EchoTorch,Tool,https://github.com/nschaetti/EchoTorch.git
RaRe-Technologies/gensim,Tool,https://github.com/RaRe-Technologies/gensim.git
OlafenwaMoses/ImageAI,Tool,https://github.com/OlafenwaMoses/ImageAI.git
flennerhag/mlens,Tool,https://github.com/flennerhag/mlens.git
proycon/pynlpl,Tool,https://github.com/proycon/pynlpl.git
onnx/onnx-caffe2,Tool,https://github.com/onnx/onnx-caffe2.git
oracle/Skater,Tool,https://github.com/oracle/Skater.git
undertheseanlp/underthesea,Tool,https://github.com/undertheseanlp/underthesea.git
crcollins/molml,Tool,https://github.com/crcollins/molml.git
autonomio/kerasplotlib,Tool,https://github.com/autonomio/kerasplotlib.git
thu-ml/zhusuan,Tool,https://github.com/thu-ml/zhusuan.git
alfredfrancis/ai-chatbot-framework,Tool,https://github.com/alfredfrancis/ai-chatbot-framework.git
BehaviorTree/BehaviorTree.CPP,Tool,https://github.com/BehaviorTree/BehaviorTree.CPP.git
